city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
la palma,pa,"la palma, pa",La Palma,PA,8.4,-78.14,75.99,98,36,2.04,75.99,2019-04-07
margate,za,"margate, za",Margate,ZA,-30.86,30.37,67.44,97,8,8.3,67.44,2019-04-07
macusani,pe,"macusani, pe",Macusani,PE,-14.07,-70.43,52.14,100,92,2.37,52.14,2019-04-07
vao,nc,"vao, nc",Vao,NC,-22.67,167.48,73.74,100,80,19.15,73.74,2019-04-07
banda aceh,id,"banda aceh, id",Banda Aceh,ID,5.56,95.32,76.17,99,24,2.48,76.17,2019-04-07
lompoc,us,"lompoc, us",Lompoc,US,34.64,-120.46,74.86,68,1,21.92,81,2019-04-07
mahadday weyne,so,"mahadday weyne, so",,,,,,,,,,2019-04-07
lolua,tv,"lolua, tv",,,,,,,,,,2019-04-07
fare,pf,"fare, pf",Fare,PF,-16.7,-151.02,84.9,96,88,15.57,84.9,2019-04-07
manaure,co,"manaure, co",Manaure,CO,11.78,-72.45,81.21,88,12,26.98,81.21,2019-04-07
sentyabrskiy,ru,"sentyabrskiy, ru",,,,,,,,,,2019-04-07
rawannawi,ki,"rawannawi, ki",,,,,,,,,,2019-04-07
dondo,mz,"dondo, mz",Dondo,MZ,-19.62,34.74,77,78,20,4.38,77,2019-04-07
berlevag,no,"berlevag, no",Berlevag,NO,70.86,29.09,26.6,63,75,9.17,26.6,2019-04-07
kiunga,pg,"kiunga, pg",Kiunga,PG,-6.12,141.3,77.61,94,80,2.71,77.61,2019-04-07
faanui,pf,"faanui, pf",Faanui,PF,-16.48,-151.75,84.54,100,56,16.35,84.54,2019-04-07
innisfail,au,"innisfail, au",Innisfail,AU,-17.52,146.03,68,93,92,5.01,68,2019-04-07
satun,th,"satun, th",Satun,TH,6.62,100.07,80.08,94,20,3.15,80.6,2019-04-07
sakakah,sa,"sakakah, sa",,,,,,,,,,2019-04-07
sorland,no,"sorland, no",Sorland,NO,67.67,12.69,37.56,100,64,12.55,37.56,2019-04-07
sisophon,kh,"sisophon, kh",Sisophon,KH,13.59,102.97,77.61,89,0,3.49,77.61,2019-04-07
port blair,in,"port blair, in",Port Blair,IN,11.67,92.75,84.31,100,0,2.95,84.31,2019-04-07
villanueva,co,"villanueva, co",Villanueva,CO,10.44,-75.27,85.73,66,20,14.99,87.8,2019-04-07
nikolayevka,ru,"nikolayevka, ru",Nikolayevka,RU,46.73,38.57,48.18,75,24,14,48.18,2019-04-07
am timan,td,"am timan, td",Am Timan,TD,11.04,20.28,73.92,39,0,2.59,73.92,2019-04-07
west wendover,us,"west wendover, us",West Wendover,US,40.74,-114.07,69.8,23,1,5.82,69.8,2019-04-07
leningradskiy,ru,"leningradskiy, ru",Leningradskiy,RU,69.38,178.42,2.77,95,36,3.18,2.77,2019-04-07
goderich,sl,"goderich, sl",,,,,,,,,,2019-04-07
scottsburgh,za,"scottsburgh, za",,,,,,,,,,2019-04-07
tazovskiy,ru,"tazovskiy, ru",Tazovskiy,RU,67.47,78.7,26.94,94,92,6.96,26.94,2019-04-07
ahipara,nz,"ahipara, nz",Ahipara,NZ,-35.17,173.16,63.93,89,92,20.94,63.93,2019-04-07
klaksvik,fo,"klaksvik, fo",Klaksvik,FO,62.23,-6.59,39.2,69,80,14.99,39.2,2019-04-07
general cepeda,mx,"general cepeda, mx",General Cepeda,MX,25.38,-101.48,78.42,31,40,6.93,78.8,2019-04-07
barentsburg,sj,"barentsburg, sj",,,,,,,,,,2019-04-07
