City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
319,hami,76,CN,1554078416,55,42.84,93.51,43.37,5.41
320,oxelosund,0,SE,1554076200,68,58.67,17.1,30.2,5.82
321,valparaiso,1,US,1554078340,47,41.47,-87.06,34.0,4.7
322,carupano,8,VE,1554078416,80,10.67,-63.26,78.74,14.25
323,samarai,92,PG,1554078416,100,-10.62,150.67,75.23,6.76
324,luderitz,8,NA,1554078417,81,-26.65,15.16,60.83,18.72
325,padang,75,ID,1554073200,94,-0.92,100.36,75.2,3.36
326,avera,1,US,1554078367,54,33.19,-82.53,60.8,10.29
327,thessalon,1,CA,1554077760,53,46.26,-83.55,24.8,5.82
328,katobu,56,ID,1554078417,99,-4.94,122.53,81.71,4.18
329,bagaha,0,IN,1554078418,83,27.1,84.09,64.7,8.55
330,alice springs,0,AU,1554075000,29,-23.7,133.88,66.2,11.41
331,kapuskasing,20,CA,1554073200,30,49.42,-82.43,26.6,11.41
332,kahului,40,US,1554078283,54,20.89,-156.47,86.0,12.75
333,kerema,56,PG,1554078418,87,-7.96,145.78,80.0,2.84
334,bowen,90,AU,1554078400,61,-20.01,148.25,80.01,13.87
335,plettenberg bay,76,ZA,1554078191,100,-34.05,23.37,65.24,29.57
336,iqaluit,75,CA,1554078121,71,63.75,-68.52,5.0,5.82
337,port alfred,88,ZA,1554078419,100,-33.59,26.89,67.94,14.03
338,pandan,0,PH,1554078419,100,11.72,122.09,79.28,18.84
339,limon,90,US,1554078120,48,39.26,-103.69,48.0,11.41
340,linjiang,24,CN,1554078419,69,41.81,126.91,26.81,4.97
341,volchikha,0,RU,1554078420,86,52.02,80.36,28.07,3.4
342,devonport,0,AU,1554078244,49,-41.18,146.36,63.0,1.01
343,wicklow,75,IE,1554078321,75,53.0,-6.42,48.0,4.7
344,linhares,48,BR,1554078420,73,-19.38,-40.06,75.59,8.32
345,lumeje,48,AO,1554078420,66,-11.56,20.78,69.11,4.07
346,ushtobe,48,KZ,1554078421,75,45.25,77.98,40.31,2.73
347,benguela,0,AO,1554078421,100,-12.58,13.4,80.36,5.97
348,taltal,0,CL,1554078379,92,-25.41,-70.49,60.11,2.51
349,dayong,0,PH,1554078421,100,11.74,122.04,79.28,18.84
350,mogadishu,0,SO,1554078421,100,2.04,45.34,82.79,14.47
351,geraldton,20,CA,1554076800,50,49.72,-86.95,28.4,8.05
